id;price;created_at;payment_gateway_token;payment_gateway_response;status;subscription_plan_id;user_profile_id
1;89296;2020-05-08T06:42:02;support;Berkshire;Ball Computers open-source;1;1
2;60139;2020-05-07T20:17:03;Chips invoice e-services;Mission e-business SMS;EXE Heights;2;2
3;23695;2020-05-07T11:16:54;Concrete;Coordinator;bandwidth overriding;3;3
4;21935;2020-05-07T20:01:18;Grocery;Borders Executive;24/365 Fresh;4;4
5;72472;2020-05-07T17:14:03;payment;Tuna District;red Chicken reboot;5;5
6;70865;2020-05-07T14:52:03;USB Handmade revolutionary;real-time;New Mexico Serbia Health;6;6
7;7155;2020-05-08T04:57:19;Comoro Franc open-source firewall;architectures Berkshire;Iraq;7;7
8;24900;2020-05-07T19:01:42;RAM;Steel Pennsylvania bypass;Rustic Multi-channelled Ameliorated;8;8
9;30227;2020-05-07T22:08:08;Gambia Pants copying;deposit;didactic;9;9
10;40418;2020-05-08T03:39:33;Soap;Dynamic;Grenada;10;10
